用户名,星级,时间,长评论,短评论
大米,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-16 00:04                            
                            ","强烈推荐，一定要来的打卡胜地！可以不去张家界森林公园，但是一定要来天门山，真的很美很刺激。去了天门山，就没必要跑武陵区的森林公园了.完全没意思。总之，天门山很没，索道很疯狂，电梯很惊奇，哈哈哈，喜欢天门山，没啥商业氛围。                            		                            收起评价","强烈推荐，一定要来的打卡胜地！可以不去张家界森林公园，但是一定要来天门山，真的很美很刺激。去了天门山，就没必要跑武陵区的森林公园了.完全没意思。总之，天门山很没，索道很疯狂，电梯很惊奇，哈哈哈，喜欢天门山，没啥商业氛围。                            		                            收起评价"
静静,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-15 21:42                            
                            ","来这边旅游的小伙伴一定一定要买A线，不然真的会腿废，除了A线其他真的废腿，我们买的A线感觉很不错，不累，就是下999那个台阶真的好点恐高好吓人，又陡峭的很，不过真的感觉还是很好，真的很美，下山那个快索道真的好稳很舒服。很喜欢                            		                            收起评价","来这边旅游的小伙伴一定一定要买A线，不然真的会腿废，除了A线其他真的废腿，我们买的A线感觉很不错，不累，就是下999那个台阶真的好点恐高好吓人，又陡峭的很，不过真的感觉还是很好，真的很美，下山那个快索道真的好稳很舒服。很喜欢                            		                            收起评价"
芝麻酱炖蛋黄,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-07-15 18:03                            
                            ","垃圾景区，勿来，坐个索道都要排1,2个小时队，没有任何人流量提示，排了一圈又一圈，没得这个接待能力偏要卖那么多票，体验感极差！分时段买票没有任何意义，不管几点的票，几点来，都是一个排，三楼很大的空间，就两台大风扇，又闷又热，没人维持秩序。来了看到人多也是不能退票的，巨坑。                            		                            收起评价",太黑了，**商家，刚买的没多久的票退了就扣60元，真黑
ABin,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-07-15 15:46                            
                            ","一坨屎，一个大秃石头山，山上除了一堆人造的无聊设施景色也不好看，上山下山要坐一个什么景观都没有的破滚梯坐小一个小时，山上一个破玻璃栈道看着也不惊险，玻璃也不擦干净，还窄的要死，短到十秒钟就能走完，谁来谁是大冤种，来张家界还是要去武陵源！                            		                            收起评价",如果你不想大热天拍三个小时队你就来
kinki_cq,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-07-15 15:39                            
                            ","交通:张家界的交通还是比较方便的，可以自驾可以高铁。特色体验:主要欣赏自然风光。推荐理由:我喜欢这里，主要是从头到尾，都不需要怎么爬山，很轻松的一次登山体验。全程有索道和电梯。tips:记住高峰期要提前预约，买A线的票。                            		                            收起评价","垃圾景区，勿来，坐个索道都要排1,2个小时队，没有任何人流量提示，排了一圈又一圈，没得这个接待能力偏要卖那么多票，体验感极差！分时段买票没有任何意义，不管几点的票，几点来，都是一个排，三楼很大的空间，就两台大风扇，又闷又热，没人维持秩序。来了看到人多也是不能退票的，巨坑。                            		                            收起评价"
李华,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-07-15 13:00                            
                            ","天门山最刺激的便是从山底坐了海拔1500多米的缆车?到了山顶 这是我迄今为止坐的最久也最高的一次缆车? 全程28分钟左右 在最高空时 耳边听见呼呼的风声 缆车也被风吹的轻微摇晃 心真的有点荡…… 最后从天门洞的999台阶一路走下来 那个酸爽 天门洞这块拍照?真的很赞                            		                            收起评价","一坨屎，一个大秃石头山，山上除了一堆人造的无聊设施景色也不好看，上山下山要坐一个什么景观都没有的破滚梯坐小一个小时，山上一个破玻璃栈道看着也不惊险，玻璃也不擦干净，还窄的要死，短到十秒钟就能走完，谁来谁是大冤种，来张家界还是要去武陵源！                            		                            收起评价"
小柒,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-15 11:22                            
                            ","交通:在张家界市里，张家界滴滴出行还是很方便的天门山有三条可以选择的线路，导游带我上山是最快的索道，下山坐的那天号称世界最长索道，下山过程还能俯视整个张家界市，索道还穿过市中心七月的天门山上比山脚下气温低几度，有个999的天梯，也可以不爬，可以搭乘扶梯，山上卖水的食物的都有，价格还好一份小炒肉面不记得是25还是35了着                            		                            收起评价","交通:在张家界市里，张家界滴滴出行还是很方便的天门山有三条可以选择的线路，导游带我上山是最快的索道，下山坐的那天号称世界最长索道，下山过程还能俯视整个张家界市，索道还穿过市中心七月的天门山上比山脚下气温低几度，有个999的天梯，也可以不爬，可以搭乘扶梯，山上卖水的食物的都有，价格还好一份小炒肉面不记得是25还是35了着                            		                            收起评价"
上元麻麻,<span class="sml-rank-stars sml-str50 star"></span>,"
                                2023-07-15
??更新于2023-07-16 07:02                            
                            ","#山不见我系列总要来趟张家界吧，坐7454米全世界最长的索道，爬999层天梯，穿12个高山扶梯，吃1顿三下锅～山河远阔，人间仙境，山不见我，我自去见山！山间有雾，没看到天门洞，些许遗憾。山风有信，清凉透心，天然空调带来的舒爽，索道、隧道、云梯的无缝切换，吹醒起早上山的困意，也有更美的遇见。有人说，再美的文案，也写不出张家界的风景，三千奇峰、八百秀山，还有万千欢笑的身影，梦游仙境之地，大放异彩。温馨提示：选A线！选A线！线A线！要早起上山！不走冤枉路！                            		                            收起评价","#山不见我系列总要来趟张家界吧，坐7454米全世界最长的索道，爬999层天梯，穿12个高山扶梯，吃1顿三下锅～山河远阔，人间仙境，山不见我，我自去见山！山间有雾，没看到天门洞，些许遗憾。山风有信，清凉透心，天然空调带来的舒爽，索道、隧道、云梯的无缝切换，吹醒起早上山的困意，也有更美的遇见。有人说，再美的文案，也写不出张家界的风景，三千奇峰、八百秀山，还有万千欢笑的身影，梦游仙境之地，大放异彩。温馨提示：选A线！选A线！线A线！要早起上山！不走冤枉路！                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str35 star"></span>,"
2023-07-14 16:24                            
                            ","比较幸运的是赶上了连天阴雨后的第一个晴天，视野开阔，但是天门洞999级台阶那里在修扶手，爬楼梯也很碍事，拍出来又不好看。不过已经知足了，B线12：00-13：00时段，下山提前取号再去玩的西线，没有排队直接下山了。                            		                            收起评价",景色很美 不过运气不好全是雾 天气很重要??记得带厚衣服 山上冷死了?冰火两重天
Monster_Yu,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-07-14 15:42                            
                            ","来的那天天气不作美，白雾茫茫。7点多出发，避开了旅游团，排了一会儿队就做到了索道，还好事先网上买的最早的票，排的时间短一些。但也因为来得早，山顶到处是白雾，可见度为零。索道里看得风景倒是最美的，索道下来叫了个导游，200元，陪你走完西线和东线；西线最美风景，也没看到啥，就是一片白茫茫，山上365天里200多天下雨，到了下午上来估计会好一些吧，太阳出来了，能看见山景。导游一路也会讲一些有关天门山的历史等等。                            		                            收起评价","比较幸运的是赶上了连天阴雨后的第一个晴天，视野开阔，但是天门洞999级台阶那里在修扶手，爬楼梯也很碍事，拍出来又不好看。不过已经知足了，B线12：00-13：00时段，下山提前取号再去玩的西线，没有排队直接下山了。                            		                            收起评价"
ashu77,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-07-14 12:20                            
                            ","风景真的太美了，在途中听见有导游说，天门山一年300多天里有200多天是阴天雨天，所以也算是很幸运赶上好天气了。看攻略的时候说a、b线才能坐那个最长的索道，本来是打算走b线的，但忘记提前几天买票了，当天只剩c线的票了。C线真的很适合那种不想要爬山又想登顶拍照看风景的朋友，全程可以坐扶梯上下（上去的要买票，下来的c票包含了）只有一段小索道坐，但是恐高的人可能也会有点怕，所以大家要坐ab 线大索道的要量力而行哦，因为上去了就不能停了哈哈                            		                            收起评价","来的那天天气不作美，白雾茫茫。7点多出发，避开了旅游团，排了一会儿队就做到了索道，还好事先网上买的最早的票，排的时间短一些。但也因为来得早，山顶到处是白雾，可见度为零。索道里看得风景倒是最美的，索道下来叫了个导游，200元，陪你走完西线和东线；西线最美风景，也没看到啥，就是一片白茫茫，山上365天里200多天下雨，到了下午上来估计会好一些吧，太阳出来了，能看见山景。导游一路也会讲一些有关天门山的历史等等。                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-07-14 12:09                            
                            ","超棒，全程电梯上山，我们没有买到b线票，买了c线也挺好的，b有全程坐缆车上山，然后999层台阶那里都需要单独购电梯票下来，也可以走着，a是缆车上山到999台阶下面，需要买票上去，c线是全程电梯上山，999上去需要买票，下来不需要，所有路线999层台阶那里都需要有一个无论上下，都单独购买一次扶梯的票，都是自愿购买。到了山顶，可以走一大圈，把整个天门山都转到了，伴随着大雾若隐若现，真美，值得一去，并且不累，推荐方便的老人都可以去。                            		                            收起评价","风景真的太美了，在途中听见有导游说，天门山一年300多天里有200多天是阴天雨天，所以也算是很幸运赶上好天气了。看攻略的时候说a、b线才能坐那个最长的索道，本来是打算走b线的，但忘记提前几天买票了，当天只剩c线的票了。C线真的很适合那种不想要爬山又想登顶拍照看风景的朋友，全程可以坐扶梯上下（上去的要买票，下来的c票包含了）只有一段小索道坐，但是恐高的人可能也会有点怕，所以大家要坐ab 线大索道的要量力而行哦，因为上去了就不能停了哈哈                            		                            收起评价"
龙宝_1784,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-14 11:17                            
                            ","上面的风景很好，很凉快，哪怕是七月的现在也并不觉得炎热。推荐大家选择a线。索道上山，索道下山，极其的方便，也不累人。上山后推荐去西县，风景很好，景点很多，还有玻璃栈道，可以去体验一下。不过建议大家上山前自己备好水和小零食，山上的东西会比较偏贵。来天门山这一趟，感受到了大自然的神奇。                            		                            收起评价","超棒，全程电梯上山，我们没有买到b线票，买了c线也挺好的，b有全程坐缆车上山，然后999层台阶那里都需要单独购电梯票下来，也可以走着，a是缆车上山到999台阶下面，需要买票上去，c线是全程电梯上山，999上去需要买票，下来不需要，所有路线999层台阶那里都需要有一个无论上下，都单独购买一次扶梯的票，都是自愿购买。到了山顶，可以走一大圈，把整个天门山都转到了，伴随着大雾若隐若现，真美，值得一去，并且不累，推荐方便的老人都可以去。                            		                            收起评价"
小琛和小王的吃货笔记,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-14 01:06                            
                            ","攻略拿去，阡陌民宿老板很好，给我们了自由行完整的路线图。由于怕人多我们倒着去玩的，可以说完美避开了人群，因为团购会先去杨家界和张家界，只是有点点可惜去的时候下雨，山顶上什么都没看见，但好在景点都能看见了。感受到了大自然的鬼斧神工，挺震撼的，这就是场域的力量，不是照片能提现的。就是太废腿，一个景点至少半小时脚程。最后就感觉换着方位看山，主要太累了，但又不想错过美景。路上还遇见了很多猴子特别是金鞭溪一路有很对多猴子，第二天艳阳天小朋友实在走不动就没去黄石寨，我自己走路了一大半拍风景，喜欢拍风景的真的值得一去。我最后是半路返回跟孩子碰头了，黄石寨有个很大的观景平台，本想去照照艳阳天的深林公园的，有点点遗憾。总体来说就是废脚，但又确实都很美。我太缺乏锻炼，从脚底到大腿都酸痛。                            		                            收起评价","上面的风景很好，很凉快，哪怕是七月的现在也并不觉得炎热。推荐大家选择a线。索道上山，索道下山，极其的方便，也不累人。上山后推荐去西县，风景很好，景点很多，还有玻璃栈道，可以去体验一下。不过建议大家上山前自己备好水和小零食，山上的东西会比较偏贵。来天门山这一趟，感受到了大自然的神奇。                            		                            收起评价"
钟灵毓秀宝宝,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-13 20:11                            
                            ","来张家界了，怎么能不来天门山看看天门洞，坐坐世界上最长的索道游玩当天的天气不错，蓝天白云因为A线购买的人太多，我们选择的B线游玩，AB的区别就是他们的游玩顺序是相反的，其他没啥区别我们坐景交车到了天门山脚下的索道入口，坐索道上山，然后到了天然空调的平台，在那里可以看到99道弯，听导游说是专业的赛车跑道，我们往前走了不远就到了天门洞的广场那里，很多人在那里拍照打卡，因为带着小孩我，我们买的上行穿山电梯，头一次坐电梯坐到累，因为我们坐了一段一段又一段的电梯，只能说这一段路程真的有点远，也说明了这段电梯给我们省了不少行走的时间，我们没有去最高顶，我们在山上的平台休息了一会，有中餐，汉堡王，还有一些其他的吃的喝的，修整了一会，又经过鬼谷栈道，还去体验了玻璃栈道后面去索道下行处排队下山了，我们下山坐的就是世界上最长的索道，说单程就需要坐二十多分钟，天门山的风景真的不错，门票虽然几百一个人，但是光坐缆车感觉就值会票价了                            		                            收起评价","攻略拿去，阡陌民宿老板很好，给我们了自由行完整的路线图。由于怕人多我们倒着去玩的，可以说完美避开了人群，因为团购会先去杨家界和张家界，只是有点点可惜去的时候下雨，山顶上什么都没看见，但好在景点都能看见了。感受到了大自然的鬼斧神工，挺震撼的，这就是场域的力量，不是照片能提现的。就是太废腿，一个景点至少半小时脚程。最后就感觉换着方位看山，主要太累了，但又不想错过美景。路上还遇见了很多猴子特别是金鞭溪一路有很对多猴子，第二天艳阳天小朋友实在走不动就没去黄石寨，我自己走路了一大半拍风景，喜欢拍风景的真的值得一去。我最后是半路返回跟孩子碰头了，黄石寨有个很大的观景平台，本想去照照艳阳天的深林公园的，有点点遗憾。总体来说就是废脚，但又确实都很美。我太缺乏锻炼，从脚底到大腿都酸痛。                            		                            收起评价"
吃饱了才有力气减肥,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-13 16:37                            
                            ","天门山真的不错哟，走的是A线。早上七点半到的索道站，排队的人不是很多，大约半小时。索道二十分钟到达山顶，先走的西线，下来大约一个半小时。东线相比较西线要热一点，景色也逊色不少，最后从十二级自动扶梯下到天门洞，999台阶走下来腿还是有点抖的。整个行程四个小时左右。整体感受不错！不是特别累。                            		                            收起评价","来张家界了，怎么能不来天门山看看天门洞，坐坐世界上最长的索道游玩当天的天气不错，蓝天白云因为A线购买的人太多，我们选择的B线游玩，AB的区别就是他们的游玩顺序是相反的，其他没啥区别我们坐景交车到了天门山脚下的索道入口，坐索道上山，然后到了天然空调的平台，在那里可以看到99道弯，听导游说是专业的赛车跑道，我们往前走了不远就到了天门洞的广场那里，很多人在那里拍照打卡，因为带着小孩我，我们买的上行穿山电梯，头一次坐电梯坐到累，因为我们坐了一段一段又一段的电梯，只能说这一段路程真的有点远，也说明了这段电梯给我们省了不少行走的时间，我们没有去最高顶，我们在山上的平台休息了一会，有中餐，汉堡王，还有一些其他的吃的喝的，修整了一会，又经过鬼谷栈道，还去体验了玻璃栈道后面去索道下行处排队下山了，我们下山坐的就是世界上最长的索道，说单程就需要坐二十多分钟，天门山的风景真的不错，门票虽然几百一个人，但是光坐缆车感觉就值会票价了                            		                            收起评价"
coolk,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-07-13 13:19                            
                            ","挺累的一天～选的b线999台阶总算是爬了更累的事爬完去做下山的缆车要排队这个有点坑没有个半个小时坐不上前提是还要取号很充实也很累的一天特种兵一天游张家界圆满over山顶的烤肠吃出了儿时逛公园的赶脚PS胆大的很多都倚着栏杆拍照我就弱弱在边上浅浅拍一下风景不敢靠近往下看		                            收起评价","天门山真的不错哟，走的是A线。早上七点半到的索道站，排队的人不是很多，大约半小时。索道二十分钟到达山顶，先走的西线，下来大约一个半小时。东线相比较西线要热一点，景色也逊色不少，最后从十二级自动扶梯下到天门洞，999台阶走下来腿还是有点抖的。整个行程四个小时左右。整体感受不错！不是特别累。                            		                            收起评价"
妹珠,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-07-13 09:56                            
                            ","风景很美，但是管理很混乱，景区内拉客的散户导游特别多，门票不便宜，一般也不会玩4天，最多两天吧，建议可以出两天的门票，买了门票以后，进去十里画廊小火车，百龙天梯，索道要另外付费，当然也可以选择自己走自己爬哦，十里画廊这条路线很多小猴子，亲眼目睹小猴子抢塑料袋，还把人挠破了，建议大家去的时候一定要小心，不要拎塑料袋在手里，也不要随便逗猴子哦，金鞭溪风景还不错哦，袁家界值得打卡的                            		                            收起评价",那么大个景区 门口排队检票处太阳火辣辣 连放置一个遮阳蓬都不会吗 这不是纯属想让游客们中暑吗
DIY我是谁,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-07-12 20:19                            
                            ","张家界天门山国家森林公园景区很大，奇峰异石一座座又一片片耸立，多姿多彩。张家界天门山国家森林公园空气清新，山下和山上完全是不同的景色，山下小溪流水，山上秀丽壮观～特别是乘坐索道大览车上山入云海时，那腾云驾雾的感觉，如同身在仙境。第一次大呼：“真美”！感叹大自然的鬼斧神工，沉醉于人间仙境的幽野和神奇。                            		                            收起评价",三条线。唯一一条没有坐长缆车的。不过也不算太辛苦。能坐A线最好。没有也可以。太高。真要去一趟。狐仙的表演就没有什么吸引的。故事不够动人，主题和环节不够。不好看。
点小评7464794773,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-07-12 17:51                            
                            ","天门山虽然有各种索道、电梯，但这大热天的也得走半天不可能一点不累，据说到天门洞要上999级台阶，到山顶也要走半天，登高爬低的，所以我们就不进去了，打车过来到门口看看天门洞，拍拍照就可以了，远观风景确实很美?。                            		                            收起评价",吸烟，插队，无比差劲，想起曾经去的长沙也是插队没人管，真是吃过亏都不知道回头，下次不会再来湖南
素素,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-12 17:40                            
                            ","很累很累 絕對能累死. 雖然沿路都有纜車?和電梯? 但是從山下爬到山頂??還真的有點距離. 不過上來後風景 空氣 還是很不錯的. 節假日超級多人 要提前預訂好門票和時間. 不然都進不來. 另外上到山頂必須第一時間預約下山的纜車? 不然不知道要等到什麼時候. 請提前最好攻略吧                            		                            收起评价","张家界天门山国家森林公园景区很大，奇峰异石一座座又一片片耸立，多姿多彩。张家界天门山国家森林公园空气清新，山下和山上完全是不同的景色，山下小溪流水，山上秀丽壮观～特别是乘坐索道大览车上山入云海时，那腾云驾雾的感觉，如同身在仙境。第一次大呼：“真美”！感叹大自然的鬼斧神工，沉醉于人间仙境的幽野和神奇。                            		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str40 star"></span>,"
2023-07-12 11:57                            
                            ","太久不爬山了，但是张家界天门山久闻大名，暑假带老带小体验一把，选择了相对轻松的A线，在夏天是明智的选择，八点半上山，人不多，山上很凉爽，体感只有二十多度，等游完西线再到东线的时候，大批的人流涌现，人挤人，赶紧带着老小下山，两点多顺利到达酒店房间，休息点外卖吃饭，大家对天门山评价都很高，值得一来，就是早点上山，游览过程比较舒心~                            		                            收起评价",空气挺好的 风景也很优美 夏天来很舒服 20-30度非常凉快！还有猴子出没 挺好玩的！就是费腿?！
bamanai119,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-12 11:54                            
                            ","跟着**攻略走的。选择了a线走到索道直接上的山，索道真的是太长了，特别惊险，高一阵儿，高一阵儿，低一阵儿的。先是经过了尝试，后来经过了森林。到了身上以后手心都是一把汗。 山上有点下小雨 印象中是走的西线   然后到东线儿。做了很长时间的那个下山电梯，那个电梯真的是坐到怀疑人生好长的，特别长的好几段儿电梯。 下去以后到了天门山那个一中飞行的那个位置你要想台阶下去也行但是因为下雨我怕滑没有走所以在旁边花了三三十还是三十五块钱买了一张电梯票然后下的山下去以后就是天门山那个小公园儿了然后就能看到天门山   很匆匆忙忙的一个中午一直在走路，一直在走路，最后看了一眼天门山，然后就走了。  天门山下小广场这个地方拍照还是挺良心的，20块钱一张，拍的还挺好的。                            		                            收起评价","天门山虽然有各种索道、电梯，但这大热天的也得走半天不可能一点不累，据说到天门洞要上999级台阶，到山顶也要走半天，登高爬低的，所以我们就不进去了，打车过来到门口看看天门洞，拍拍照就可以了，远观风景确实很美?。                            		                            收起评价"
da大健Kyle,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-11 22:53                            
                            ","照片拍摄于2016年张家界真得特别大，买了门票可以在里面玩上一周，其他景点不需要再买票，只有各个景区的索道和天梯，还有小火车这些要另外买票！暑假时住宿要提前订好，好多环境好些的民宿和酒店都爆满！山上的晚上很凉快！                            		                            收起评价","很累很累 絕對能累死. 雖然沿路都有纜車?和電梯? 但是從山下爬到山頂??還真的有點距離. 不過上來後風景 空氣 還是很不錯的. 節假日超級多人 要提前預訂好門票和時間. 不然都進不來. 另外上到山頂必須第一時間預約下山的纜車? 不然不知道要等到什麼時候. 請提前最好攻略吧                            		                            收起评价"
feierhere,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-11 22:51                            
                            ","我是从西安出发的，报了个当地六人的vip四日游。这一站是我们第二天的观光景点打卡地。从底下坐缆车上到山顶的时间是23分钟。景色很美。张家界天门山景区目前开放A、B、C线三条游览线，这三条游览线价格都一样，只不过是游览的路线和景点的顺序不一样。我们走的是B线路 在市区索道下站乘坐景区摆渡车上山顶→乘景区游览车至天门洞→游天门洞后乘自动扶梯至山顶→游山顶空中花园→乘索道下山返回索道下站。天门山景区环抱观光汽车每日行车路线为索道中站至天门洞停车坪往返，单场运行时间25~30分钟，每10分钟发班。旅游区总面积96平方千米，山顶面积达2平方千米，兼峰、石、泉、溪、云、林于一体，集雄、奇、秀、险、幽于一身，分碧野瑶台、觅仙奇境、天界佛国、天门洞开四大游览区。推荐指数?????                            		                            收起评价","太久不爬山了，但是张家界天门山久闻大名，暑假带老带小体验一把，选择了相对轻松的A线，在夏天是明智的选择，八点半上山，人不多，山上很凉爽，体感只有二十多度，等游完西线再到东线的时候，大批的人流涌现，人挤人，赶紧带着老小下山，两点多顺利到达酒店房间，休息点外卖吃饭，大家对天门山评价都很高，值得一来，就是早点上山，游览过程比较舒心~                            		                            收起评价"
Squirrel_Ran,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-07-11 22:36                            
                            ","总体玩了5个小时左右，带了一个一岁半的小宝宝去。有点累啊。相当于全程抱着再，下999台阶的时候也可以抱着走下来，但是一定要注意安全！我们定的8-9点的票，一早起来下大雨??了，电话咨询后不影响行程。我们是 a线，直接市区出发，坐了二十分钟缆车把，风景超级好，非常值得去一次。                            		                            收起评价",《望天門山》天門中斷楚江開，碧水東流至此回。兩岸青山相對出，孤帆一片日邊來。特色体验:有幸遇见：天门洞吞云吐雾～～
我的娇媚,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-11 12:33                            
                            ","第一次知道天门山是从李白的诗里，亲自来到这里，看到的更是惊险，雄伟，优美的景色。山下有个大屏幕播放着世界各地的冒险家或是翼装飞行或是高空行走等做着各种挑战人类的极限，上去时我们是坐着世界上最长的电梯上去的，下去是坐着最长的索道下去的，真是令人赞叹                            		                            收起评价","第一次知道天门山是从李白的诗里，亲自来到这里，看到的更是惊险，雄伟，优美的景色。山下有个大屏幕播放着世界各地的冒险家或是翼装飞行或是高空行走等做着各种挑战人类的极限，上去时我们是坐着世界上最长的电梯上去的，下去是坐着最长的索道下去的，真是令人赞叹                            		                            收起评价"
ht_tom,<span class="sml-rank-stars sml-str5 star"></span>,"
2023-07-11 12:08                            
                            ","赶上了一个大晴天，天门山的美景一览无余，没赶上翼装飞行的那天，但是来到这后感慨翼装飞行的艰难，能从那么高的地方飞下来还要穿过天门洞真的是牛，天门山也是有名的避暑胜地，适合全家出游，也适合懒人来打卡		                            收起评价",服务极差，出门锁个车就不让再进了，学生票查了学生证，居然还要查班级群。
xiaoying1987,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-11 12:00                            
                            ","很推荐，真的值得一去，个人认为比森林公园对我的吸引力更大些。我选的B线，爬了999阶梯，腿废了，但是登上去的时刻，满满的成就感，简直太棒了。可惜的是，我们去的那天下雨，但是也看到了不同的景色，真的是壮观，最后从云梦仙顶做缆车下去时候，逛风暴雨，一路心惊胆战的下去了。                            		                            收起评价","赶上了一个大晴天，天门山的美景一览无余，没赶上翼装飞行的那天，但是来到这后感慨翼装飞行的艰难，能从那么高的地方飞下来还要穿过天门洞真的是牛，天门山也是有名的避暑胜地，适合全家出游，也适合懒人来打卡		                            收起评价"
匿名用户,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-07-11 00:28                            
                            ","特色体验：听姐一句劝 一定要选b线！！！天门山向上爬起码可以背对恐惧 咬牙切齿爬上那几百层后 就可以一边补充水分一边坐上山电梯喘息着骂娘 山上到处都是拍照的好风景 再也无需运动.恐高患者一旦选了下山路 做电梯到最高层后的每一分钟下山路都会让你难受.tips：不要带太多东西 山上什么都有 物价真的不离谱 带太多吃亏的是帮你背包的另一半.                            		                            收起评价",一点不坑人，自驾游去的，都很开心，额外花费的森林索道有点吓人，喜欢刺激的可以去尝试一下
晨曦,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-07-10 19:29                            
                            ","绝美天门山，一步一重天。最初知道天门山，是从李白的《望天门山》中“天门中断楚江开，碧水东流至此回。两岸青山相对出，孤帆一片日边来。”当时只觉得天门山很美很壮观，今日一见，果然名不虚传。今日是阴雨天气，有幸观看到天门山洞吐雾的奇观。坚持爬了999级台阶，据说跨过这999级台阶，就跨过了人生的坎坷，以后的人生会更加顺遂。行走在鬼谷栈道上，虽然没有蜀道“百步九折萦岩峦”的曲折蜿蜒，但却有“扪参历井仰胁息”的惊心动魄，鬼谷天堑更是鬼斧神工，玻璃栈道步步惊心。四周群峰耸立，云雾缭绕，人在雾中游，终于明白了仙字为什么是人字旁和山，原来仙就是山中人啊！每天在这样云雾缭绕，碧树掩映的环境里，心无杂念，心胸开阔，怎么会不成仙呢。今天眼睛像做了一次疗愈，相机根本装不下天门山的美景。总之，不枉此行！                            		                            收起评价",风景优美，空气清新，让人感觉很舒服。
廾匸,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-07-10 13:12                            
                            ","天门山应该是因天门洞而出名的吧！天门山很不错，风景很好，索道很舒适，也很惊险。在山上俯看，风景很好，云雾缭绕，在上面经历了雨天和晴天，看了不同的风景。天门洞当然是必到景点，扶梯也很爽。下了999级台阶，在下面看，又是一道风景。                            		                            收起评价","很推荐，真的值得一去，个人认为比森林公园对我的吸引力更大些。我选的B线，爬了999阶梯，腿废了，但是登上去的时刻，满满的成就感，简直太棒了。可惜的是，我们去的那天下雨，但是也看到了不同的景色，真的是壮观，最后从云梦仙顶做缆车下去时候，逛风暴雨，一路心惊胆战的下去了。                            		                            收起评价"
梓霖妈妈_2456,<span class="sml-rank-stars sml-str15 star"></span>,"
2023-07-10 10:19                            
                            ","在市中心，挺方便的，离汽车站火车站很近，买的早上八点的票，不到八点就刷身份证进去了。上去先走的东线，把西线一起转下来了，全程6.5公里好像，记不清了，基本上不需要爬山，坐索道上去就是环山栈道，说实话对于恐高人群真的是很大的挑战，玻璃栈道我没敢走，可以绕过去，四月初去人不多，体验很好。可以索道上然后电梯下，我们大概两点半就下山了，可以看到那会儿下山的人很少，上山的人就很多了，所以还是一早就去比较好。还有一段电梯需要再单独买票。                            		                            收起评价",门票购买规则死板，不人性化。买票需知不明确。对于首次去的外地人非常坑。除了前景美一点，景区服务感都极差。特别是天门山景区。森林公园还可以。
