Campylospermum angulatum (DC.) Tiegh.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malpighiales







View Order Tree
opens in a new tab",Ochnaceae,Campylospermum,"Campylospermum angulatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:605856-1
Syzygium condensatum (Baker) Labat & Schatz,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Myrtales







View Order Tree
opens in a new tab",Myrtaceae,Syzygium,"Syzygium condensatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20006853-1
Aspidostemon glaber van der Werff,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Laurales







View Order Tree
opens in a new tab",Lauraceae,Aspidostemon,"Aspidostemon glaber


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77308251-1
Oeonia rosea Ridl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Oeonia,"Oeonia rosea







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:614966-1
Mimulopsis lyalliana var. lyalliana ,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,"Mimulopsis







View in Tree of Life
opens in a new tab","Mimulopsis lyalliana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77230974-1
Elatostema goudotianum var. papangae (Leandri) Leandri,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Rosales







View Order Tree
opens in a new tab",Urticaceae,Elatostema,"Elatostema goudotianum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77251020-1
Dombeya antsianakensis var. australis Arènes,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,"Dombeya







View in Tree of Life
opens in a new tab","Dombeya antsianakensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77249790-1
Trichomanes cuspidatum Willd.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Hymenophyllales







View Order Tree
opens in a new tab",Hymenophyllaceae,Trichomanes,"Trichomanes cuspidatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17228690-1
Hibiscus palmatifidus var. palmatifidus ,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Hibiscus,"Hibiscus palmatifidus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231051-1
Aloe massawana Reynolds,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe massawana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529644-1
Plumbago dawei Rolfe,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Plumbaginaceae,Plumbago,"Plumbago dawei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:687064-1
Pupalia lappacea (L.) Juss.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Amaranthaceae,Pupalia,"Pupalia lappacea


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:61335-1
Asplenium warneckei Hieron.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Aspleniaceae,Asplenium,"Asplenium warneckei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17241230-1
Canavalia madagascariensis J.D.Sauer,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Canavalia,"Canavalia madagascariensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:483673-1
Lagrezia madagascariensis (Poir.) Moq.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Amaranthaceae,Lagrezia,"Lagrezia madagascariensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60866-1
Emilia integrifolia Baker,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Emilia,"Emilia integrifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203054-1
Aloe deltoideodonta subsp. amboahangyensis Rebmann,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe deltoideodonta


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110996-1
Eriocaulon mutatum N.E.Br.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Eriocaulaceae,"Eriocaulon







View in Tree of Life
opens in a new tab","Eriocaulon mutatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:335521-1
Cymbopogon flexuosus (Nees ex Steud.) Will.Watson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Cymbopogon,"Cymbopogon flexuosus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396927-1
Hypodematium crenatum subsp. crenatum ,Plantae,,,"







View Order Tree
opens in a new tab


","Hypodematiaceae

 




View Family Tree opens in a new tab","Hypodematium

 




View in Tree of Life opens in a new tab",Hypodematium crenatum,"Hypodematium crenatum subsp. crenatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77059509-1
